orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp,ms
192.44,11.31,-167.88,-0.59,-0.35,1.04,-0.88,-1.51,1.25,1.04,0.49,-8.14,1.92,2.01,-9.40,27,10.75
193.19,11.25,-167.63,-0.74,-0.38,1.11,-0.55,-0.87,0.93,1.35,1.17,-8.46,1.89,2.11,-9.38,27,10.61
193.94,11.13,-167.25,-0.87,-0.44,1.13,-0.16,0.07,0.87,1.70,2.26,-8.49,1.87,2.18,-9.37,27,10.95
194.63,11.00,-166.88,-1.06,-0.59,1.05,0.10,0.31,0.82,1.94,2.57,-8.53,1.84,2.26,-9.36,27,11.79
195.94,10.56,-165.88,-1.09,-0.64,1.02,0.30,0.60,0.71,2.11,2.94,-8.63,1.80,2.34,-9.34,27,9.63
196.56,10.38,-165.44,-1.07,-0.68,0.97,0.23,0.78,0.63,2.00,3.20,-8.70,1.76,2.42,-9.33,27,10.7
197.19,10.13,-164.94,-1.02,-0.71,0.92,0.15,0.87,0.36,1.98,3.44,-8.98,1.68,2.57,-9.31,27,10.44
197.81,9.81,-164.50,-0.97,-0.73,0.87,0.30,0.87,0.32,1.95,3.43,-9.01,1.63,2.64,-9.30,27,10.71
198.38,9.56,-164.13,-0.94,-0.77,0.98,0.13,0.60,0.20,1.72,3.31,-9.08,1.59,2.71,-9.28,27,10.13
199.06,9.31,-163.69,-0.97,-0.82,1.10,-0.07,0.33,0.14,1.47,3.11,-9.12,1.54,2.78,-9.27,27,10.54
200.56,8.81,-162.81,-1.02,-0.88,1.22,0.07,0.68,0.12,1.57,3.53,-9.13,1.50,2.85,-9.25,27,10.69
201.44,8.50,-162.38,-1.08,-0.96,1.32,0.15,0.69,0.02,1.61,3.63,-9.21,1.40,3.01,-9.22,27,10.96
202.38,8.19,-161.88,-1.13,-1.04,1.46,0.12,0.63,-0.25,1.53,3.83,-9.49,1.34,3.09,-9.20,27,11.15
203.44,7.88,-161.38,-1.16,-1.14,1.63,0.18,0.73,-0.28,1.65,3.96,-9.30,1.29,3.17,-9.18,27,11.96
204.56,7.56,-160.88,-1.15,-1.24,1.80,0.35,0.78,-0.11,1.54,4.06,-9.27,1.23,3.25,-9.16,27,9.32
205.81,7.19,-160.44,-1.09,-1.40,1.95,-0.40,1.54,-0.50,0.77,4.87,-9.65,1.17,3.32,-9.14,27,11.64
208.31,6.50,-159.56,-1.00,-1.41,1.97,0.00,0.90,-0.14,1.11,4.30,-9.28,1.11,3.39,-9.13,27,11.15
209.56,6.13,-159.25,-0.88,-1.38,1.94,-0.19,1.09,-0.20,0.85,4.54,-9.31,1.05,3.45,-9.11,27,10.23
210.69,5.81,-158.94,-0.72,-1.32,1.86,-0.37,0.96,0.11,0.62,4.45,-8.99,1.00,3.49,-9.10,27,9.97
211.81,5.56,-158.75,-0.56,-1.23,1.73,-0.25,0.59,0.47,0.65,4.14,-8.61,0.90,3.55,-9.09,27,11.49
212.81,5.31,-158.63,-0.24,-0.95,1.36,-0.40,0.39,0.64,0.46,3.95,-8.44,0.87,3.56,-9.09,27,11.21
214.44,4.88,-158.56,-0.12,-0.79,1.16,-0.48,0.02,0.54,0.35,3.58,-8.54,0.84,3.56,-9.09,27,9.99
215.00,4.75,-158.63,-0.02,-0.63,0.99,-0.50,-0.17,0.55,0.31,3.38,-8.54,0.82,3.55,-9.10,27,11.06
215.50,4.69,-158.75,0.08,-0.47,0.86,-0.41,-0.08,0.57,0.39,3.45,-8.53,0.80,3.51,-9.11,27,10.0
216.00,4.69,-158.88,0.17,-0.32,0.76,-0.28,-0.32,0.43,0.57,3.11,-8.65,0.81,3.49,-9.12,27,11.98
216.38,4.69,-159.00,0.25,-0.20,0.69,-0.19,-0.31,0.38,0.62,3.14,-8.74,0.82,3.45,-9.13,27,9.98
216.75,4.81,-159.25,0.31,-0.09,0.66,-0.13,-0.28,0.36,0.70,3.14,-8.78,0.84,3.42,-9.15,27,10.69
217.13,4.94,-159.44,0.39,0.03,0.63,-0.04,-0.33,0.23,0.82,3.05,-8.92,0.87,3.38,-9.16,27,10.16
217.81,5.19,-159.94,0.39,0.05,0.65,0.06,-0.35,0.01,0.95,2.98,-9.16,0.89,3.34,-9.17,27,12.09
218.13,5.38,-160.19,0.38,0.05,0.69,0.21,-0.52,0.06,1.28,2.82,-9.15,0.95,3.26,-9.19,27,11.08
218.56,5.56,-160.44,0.37,0.05,0.74,0.33,-0.44,0.04,1.28,2.63,-9.05,0.97,3.22,-9.20,27,10.13
218.94,5.69,-160.69,0.35,0.04,0.76,0.30,-0.58,0.15,1.47,2.49,-8.97,1.00,3.18,-9.21,27,9.95
219.38,5.88,-160.88,0.33,0.04,0.76,0.45,-0.57,0.19,1.48,2.58,-9.03,1.03,3.15,-9.22,27,11.98
220.13,6.19,-161.25,0.25,0.04,0.70,0.61,-0.71,0.26,1.67,2.40,-8.96,1.05,3.12,-9.23,27,14.0
220.50,6.31,-161.44,0.20,0.04,0.65,0.66,-0.70,0.34,1.74,2.39,-8.89,1.08,3.10,-9.24,27,6.88
220.81,6.44,-161.56,0.17,0.03,0.59,0.64,-0.59,0.37,1.74,2.48,-8.86,1.10,3.07,-9.24,27,10.11
221.13,6.50,-161.63,0.13,0.01,0.52,0.72,-0.67,0.26,1.96,2.51,-9.21,1.13,3.04,-9.25,27,12.18
221.38,6.56,-161.75,0.09,-0.01,0.47,0.84,-0.53,-0.18,1.98,2.50,-9.43,1.14,3.03,-9.25,27,11.2
221.63,6.63,-161.81,0.05,-0.06,0.42,0.84,-0.58,-0.14,1.99,2.44,-9.40,1.14,3.02,-9.25,27,8.08
221.88,6.69,-161.88,0.04,-0.09,0.42,0.76,-0.52,-0.34,1.91,2.49,-9.60,1.15,3.01,-9.25,27,10.29
222.38,6.75,-161.94,0.03,-0.13,0.44,0.75,-0.45,-0.56,1.90,2.55,-9.82,1.15,3.01,-9.26,27,10.06
222.63,6.69,-162.00,0.01,-0.17,0.47,0.65,-0.36,-0.62,1.80,2.64,-9.88,1.14,2.99,-9.26,27,12.44
222.94,6.69,-162.06,0.01,-0.21,0.49,0.44,-0.10,-0.77,1.48,2.95,-10.06,1.14,2.99,-9.26,27,9.78
223.25,6.63,-162.06,0.01,-0.23,0.50,0.34,-0.04,-0.79,1.35,3.06,-10.11,1.13,2.98,-9.27,27,9.9
223.56,6.63,-162.13,0.01,-0.22,0.50,0.19,0.05,-0.83,1.32,3.03,-10.10,1.13,2.97,-9.27,27,10.88
223.81,6.63,-162.19,0.07,-0.16,0.45,0.18,0.00,-0.75,1.31,2.95,-10.02,1.13,2.96,-9.27,27,11.53
224.31,6.63,-162.31,0.11,-0.09,0.41,0.18,-0.05,-0.57,1.32,2.90,-9.85,1.14,2.93,-9.28,27,11.61
224.50,6.63,-162.44,0.15,-0.03,0.34,0.17,-0.14,-0.48,1.31,2.78,-9.77,1.15,2.91,-9.29,27,9.53
224.75,6.69,-162.50,0.18,0.04,0.25,0.32,-0.28,-0.44,1.49,2.65,-9.75,1.16,2.89,-9.29,27,9.75
224.81,6.81,-162.63,0.19,0.09,0.18,0.36,-0.24,-0.41,1.54,2.63,-9.71,1.17,2.88,-9.29,27,12.51
224.88,6.88,-162.75,0.16,0.10,0.11,0.37,-0.34,-0.32,1.56,2.51,-9.62,1.19,2.86,-9.30,27,10.73
225.00,7.00,-162.94,0.10,0.06,0.11,0.66,-0.24,-0.22,1.86,2.61,-9.53,1.20,2.85,-9.30,27,9.93
225.06,7.00,-162.94,0.03,-0.01,0.14,0.79,-0.16,-0.20,1.99,2.68,-9.51,1.20,2.84,-9.30,27,11.86
225.19,7.00,-162.94,-0.05,-0.12,0.17,0.75,-0.08,-0.02,1.92,2.63,-9.09,1.17,2.86,-9.30,27,12.28
225.31,6.88,-162.88,-0.16,-0.27,0.21,0.74,-0.23,0.20,1.95,2.56,-8.99,1.14,2.88,-9.30,27,9.96
225.50,6.69,-162.69,-0.47,-0.62,0.44,0.88,-0.08,0.40,1.99,2.84,-8.89,1.10,2.92,-9.29,27,9.48
225.81,6.44,-162.50,-0.62,-0.82,0.58,1.05,0.15,0.89,2.10,3.12,-8.38,1.04,2.97,-9.28,27,11.06
226.75,5.69,-161.81,-0.75,-1.01,0.68,1.09,0.25,1.15,2.06,3.29,-8.12,0.97,3.03,-9.27,27,9.53
227.25,5.19,-161.44,-0.86,-1.19,0.72,1.19,0.36,1.39,2.08,3.47,-7.86,0.78,3.18,-9.24,27,10.66
227.75,4.56,-160.94,-0.94,-1.36,0.68,1.27,0.36,1.63,1.80,3.58,-7.23,0.67,3.27,-9.21,27,11.93
228.25,3.88,-160.44,-1.01,-1.51,0.60,1.13,0.30,1.98,1.61,3.65,-6.98,0.54,3.36,-9.19,27,9.32
228.75,3.13,-159.88,-1.05,-1.67,0.50,1.07,0.29,2.20,1.31,3.53,-6.83,0.39,3.45,-9.16,27,10.87
229.13,2.25,-159.31,-1.13,-1.94,0.27,0.50,-0.24,2.41,0.73,3.31,-6.71,0.22,3.55,-9.13,27,13.95
229.88,0.25,-158.06,-1.18,-2.07,0.21,0.42,-0.43,2.69,0.47,3.22,-6.40,0.05,3.66,-9.09,27,9.87
230.19,-0.75,-157.38,-1.23,-2.17,0.21,0.23,-0.53,2.69,0.10,3.23,-6.36,-0.13,3.76,-9.05,27,9.21
230.56,-1.81,-156.63,-1.28,-2.24,0.22,0.22,-0.54,2.91,-0.09,3.33,-6.08,-0.50,3.99,-8.94,27,10.68
230.94,-2.94,-155.88,-1.29,-2.26,0.22,0.04,-0.54,3.29,-0.64,3.55,-5.58,-0.69,4.10,-8.88,27,11.52
231.25,-4.00,-155.19,-1.19,-2.17,0.09,-0.05,-0.61,3.09,-0.92,3.58,-5.72,-0.87,4.20,-8.81,27,11.97
231.75,-6.13,-153.81,-1.08,-2.08,-0.04,-0.20,-0.77,3.30,-1.26,3.52,-5.45,-1.05,4.29,-8.75,27,13.07
231.56,-7.13,-153.25,-0.94,-1.94,-0.18,-0.42,-1.00,3.45,-1.64,3.36,-5.24,-1.22,4.37,-8.69,27,8.77
231.56,-8.13,-152.75,-0.78,-1.78,-0.33,-0.38,-1.02,3.24,-2.01,3.43,-5.44,-1.53,4.48,-8.58,27,10.98
231.50,-9.00,-152.38,-0.62,-1.59,-0.45,-0.31,-0.85,3.06,-1.99,3.65,-5.47,-1.68,4.50,-8.54,27,10.77
231.38,-9.81,-152.13,-0.27,-1.26,-0.67,-0.33,-0.80,2.77,-2.15,3.71,-5.73,-1.81,4.52,-8.51,27,10.08
230.75,-11.38,-151.94,-0.09,-1.16,-0.72,-0.13,-0.95,2.85,-2.07,3.55,-5.63,-1.94,4.51,-8.48,27,11.04
230.50,-12.13,-152.00,0.09,-1.10,-0.73,-0.35,-1.01,3.06,-2.41,3.47,-5.40,-2.18,4.45,-8.45,27,10.96
230.25,-12.81,-152.19,0.27,-1.07,-0.71,-0.35,-1.17,3.25,-2.86,3.31,-5.46,-2.29,4.40,-8.45,27,11.23
230.06,-13.50,-152.44,0.41,-1.07,-0.68,-0.65,-1.20,3.02,-3.07,3.14,-5.42,-2.41,4.34,-8.45,27,10.55
229.88,-14.25,-152.75,0.67,-1.08,-0.70,-1.22,-1.18,2.89,-3.75,3.09,-5.55,-2.53,4.27,-8.45,27,11.82
229.31,-15.69,-153.63,0.80,-1.05,-0.78,-1.26,-1.37,2.97,-3.91,2.81,-5.48,-2.65,4.19,-8.45,27,12.2
229.06,-16.38,-154.19,0.90,-1.02,-0.88,-1.17,-1.38,2.63,-4.34,2.13,-5.99,-2.88,3.98,-8.48,27,11.2
228.75,-17.13,-154.81,0.99,-0.99,-0.96,-1.45,-1.85,2.48,-4.66,2.01,-5.86,-3.00,3.86,-8.49,27,9.79
228.38,-17.81,-155.50,1.10,-0.97,-1.00,-1.65,-1.85,2.62,-4.93,2.02,-6.14,-3.12,3.74,-8.50,27,10.64
228.06,-18.56,-156.19,1.10,-0.97,-0.99,-1.53,-1.97,2.20,-4.76,1.65,-6.31,-3.23,3.62,-8.51,27,11.56
227.50,-19.94,-157.63,1.14,-1.01,-0.87,-1.67,-1.84,1.54,-5.02,1.66,-6.97,-3.35,3.50,-8.52,27,10.71
227.25,-20.63,-158.31,1.18,-1.02,-0.81,-1.74,-1.71,1.21,-5.34,1.45,-7.23,-3.57,3.25,-8.53,27,12.29
227.06,-21.31,-159.06,1.21,-1.02,-0.77,-1.77,-1.80,1.29,-5.52,1.34,-7.61,-3.67,3.12,-8.53,27,11.1
226.94,-22.00,-159.81,1.23,-1.01,-0.74,-1.84,-1.78,0.91,-5.62,1.10,-7.51,-3.78,3.00,-8.53,27,10.97
226.81,-22.69,-160.63,1.28,-1.01,-0.67,-2.13,-1.58,0.84,-6.01,1.28,-7.68,-3.88,2.87,-8.53,27,12.03
226.50,-23.94,-162.19,1.30,-0.99,-0.66,-1.95,-1.51,0.44,-5.94,1.22,-8.08,-4.08,2.59,-8.52,27,11.21
226.44,-24.56,-163.00,1.38,-0.96,-0.64,-1.85,-1.37,-0.42,-5.93,1.22,-8.95,-4.17,2.45,-8.52,27,10.4
226.31,-25.19,-163.94,1.48,-0.91,-0.64,-2.00,-0.98,-0.75,-6.09,1.28,-9.46,-4.25,2.29,-8.53,27,11.68
226.19,-25.69,-164.94,1.69,-0.76,-0.68,-1.87,-0.77,-1.94,-6.21,1.35,-10.47,-4.33,2.12,-8.53,27,11.82
226.00,-26.69,-167.13,1.80,-0.69,-0.69,-1.76,-0.65,-2.42,-6.17,1.29,-10.96,-4.40,1.94,-8.54,27,11.19
225.88,-27.06,-168.31,1.92,-0.62,-0.70,-1.85,-0.62,-3.57,-6.32,1.13,-12.12,-4.47,1.75,-8.54,27,10.85
225.81,-27.44,-169.63,2.02,-0.53,-0.70,-1.85,-0.68,-3.94,-6.37,0.87,-12.49,-4.57,1.36,-8.56,27,11.61
225.75,-27.75,-170.94,2.04,-0.41,-0.70,-2.55,-0.83,-5.73,-7.14,0.32,-14.31,-4.59,1.16,-8.58,27,11.7
225.63,-27.94,-172.25,1.91,-0.08,-0.63,-2.51,-0.72,-6.14,-7.12,0.25,-14.74,-4.61,0.97,-8.59,27,11.08
225.50,-28.00,-174.63,1.77,0.07,-0.57,-2.31,-0.77,-6.68,-6.92,0.03,-15.30,-4.61,0.80,-8.61,27,11.19
225.44,-27.94,-175.69,1.59,0.19,-0.49,-2.13,-0.53,-6.62,-6.73,0.12,-15.25,-4.59,0.65,-8.63,27,10.43
225.38,-27.81,-176.56,1.37,0.27,-0.41,-1.63,0.03,-6.44,-6.19,0.44,-15.12,-4.55,0.40,-8.67,27,11.2
225.38,-27.63,-177.25,0.85,0.33,-0.28,-1.16,0.33,-5.98,-5.68,0.66,-14.68,-4.52,0.32,-8.69,27,11.39
225.25,-27.31,-178.19,0.58,0.32,-0.21,-0.96,0.43,-5.60,-5.46,0.69,-14.31,-4.50,0.26,-8.70,27,10.28
225.31,-27.13,-178.44,0.33,0.29,-0.14,-0.78,0.49,-5.22,-5.25,0.72,-13.95,-4.47,0.23,-8.72,27,11.33
225.25,-27.00,-178.50,0.09,0.26,-0.05,-0.38,0.50,-4.48,-4.63,0.78,-12.74,-4.43,0.23,-8.74,27,11.38
225.31,-26.88,-178.44,-0.12,0.21,0.07,0.00,0.54,-3.59,-4.42,0.81,-12.34,-4.42,0.27,-8.74,27,11.34
225.38,-26.75,-178.19,-0.42,0.13,0.30,0.25,0.54,-2.83,-4.15,0.86,-11.58,-4.40,0.31,-8.75,27,9.61
225.63,-26.63,-177.50,-0.51,0.10,0.37,0.28,0.40,-2.53,-4.11,0.78,-11.28,-4.39,0.37,-8.75,27,11.07
225.75,-26.56,-177.06,-0.57,0.09,0.41,0.37,0.30,-2.28,-4.01,0.74,-11.04,-4.39,0.44,-8.75,27,10.86
225.94,-26.50,-176.63,-0.60,0.11,0.45,0.32,0.22,-2.19,-3.89,0.87,-10.81,-4.36,0.58,-8.76,27,11.72
226.13,-26.38,-176.13,-0.61,0.14,0.48,0.43,0.38,-2.02,-3.91,1.03,-10.78,-4.34,0.65,-8.76,27,10.87
226.31,-26.31,-175.69,-0.59,0.17,0.50,0.43,0.38,-2.02,-3.90,1.16,-10.52,-4.32,0.72,-8.77,27,10.61
226.50,-26.13,-175.25,-0.46,0.27,0.44,0.24,0.31,-1.31,-4.05,1.09,-10.09,-4.29,0.77,-8.77,27,10.94
226.88,-25.75,-174.63,-0.38,0.35,0.37,0.09,0.31,-1.32,-4.17,1.14,-10.11,-4.22,0.86,-8.80,27,11.32
226.94,-25.50,-174.38,-0.31,0.42,0.28,0.04,0.17,-1.18,-4.24,0.90,-9.88,-4.18,0.89,-8.82,27,12.13
227.00,-25.25,-174.19,-0.26,0.48,0.19,-0.05,0.01,-1.06,-4.41,0.55,-9.70,-4.13,0.92,-8.84,27,10.09
227.00,-24.94,-174.00,-0.24,0.54,0.12,-0.30,-0.56,-0.75,-4.39,0.38,-9.61,-4.08,0.94,-8.86,27,11.72
227.06,-24.25,-173.69,-0.31,0.62,0.14,-0.32,-0.69,-0.68,-4.36,0.28,-9.57,-4.03,0.97,-8.88,27,11.24
227.13,-23.88,-173.44,-0.37,0.63,0.21,-0.30,-0.80,-0.48,-4.28,0.21,-9.38,-3.92,1.06,-8.92,27,10.78
227.19,-23.50,-173.13,-0.45,0.63,0.27,-0.32,-0.76,-0.26,-4.24,0.30,-9.19,-3.86,1.12,-8.94,27,10.75
227.38,-23.19,-172.81,-0.53,0.62,0.34,-0.29,-0.92,0.00,-4.04,0.39,-8.89,-3.80,1.19,-8.95,27,10.61
227.50,-22.81,-172.38,-0.66,0.60,0.44,-0.07,-0.47,0.33,-3.82,0.79,-8.63,-3.74,1.26,-8.97,27,10.9
227.81,-22.06,-171.44,-0.69,0.58,0.45,0.03,-0.50,0.48,-3.65,0.83,-8.49,-3.69,1.34,-8.98,27,11.45
227.94,-21.75,-171.00,-0.69,0.58,0.44,0.10,-0.38,0.64,-3.53,1.03,-8.34,-3.63,1.41,-8.99,27,9.86
228.06,-21.38,-170.56,-0.67,0.57,0.41,0.36,-0.23,0.80,-3.21,1.25,-8.20,-3.52,1.56,-9.01,27,10.45
228.19,-21.06,-170.13,-0.63,0.55,0.39,0.49,-0.30,0.96,-2.98,1.31,-8.06,-3.47,1.62,-9.02,27,11.28
228.31,-20.69,-169.75,-0.52,0.52,0.37,0.53,-0.35,1.16,-2.88,1.32,-7.86,-3.42,1.68,-9.03,27,11.54
228.56,-20.06,-169.13,-0.46,0.51,0.36,0.70,-0.37,1.28,-2.66,1.36,-7.75,-3.37,1.73,-9.04,27,10.37
228.69,-19.75,-168.81,-0.40,0.50,0.34,0.77,-0.43,1.25,-2.54,1.34,-7.79,-3.32,1.78,-9.05,27,10.51
228.81,-19.44,-168.63,-0.33,0.49,0.30,0.80,-0.42,1.33,-2.29,1.34,-7.75,-3.22,1.85,-9.07,27,11.25
228.88,-19.19,-168.44,-0.26,0.48,0.25,1.02,-0.46,1.24,-2.15,1.41,-7.83,-3.18,1.87,-9.08,27,11.0
228.94,-18.88,-168.31,-0.14,0.46,0.13,0.86,-0.52,1.15,-2.27,1.37,-7.94,-3.13,1.89,-9.09,27,10.6
229.13,-18.38,-168.19,-0.09,0.43,0.07,0.83,-0.63,0.98,-2.26,1.26,-8.12,-3.09,1.90,-9.10,27,10.11
229.13,-18.19,-168.13,-0.06,0.41,0.04,0.65,-0.72,0.79,-2.40,1.17,-8.32,-3.06,1.90,-9.11,27,11.16
229.13,-17.94,-168.13,-0.05,0.39,0.04,0.49,-0.87,0.76,-2.54,1.01,-8.38,-2.99,1.91,-9.13,27,10.92
229.13,-17.75,-168.13,-0.05,0.37,0.04,0.28,-1.00,0.58,-2.67,0.92,-8.56,-2.95,1.92,-9.14,27,11.02
229.13,-17.56,-168.13,-0.04,0.37,0.06,0.28,-1.00,0.58,-2.75,0.90,-8.56,-2.92,1.92,-9.15,27,10.29
229.19,-17.31,-168.06,-0.02,0.38,0.07,0.05,-1.16,0.67,-2.83,0.76,-8.49,-2.88,1.93,-9.17,27,11.34
229.13,-16.88,-168.13,0.00,0.45,0.00,0.04,-1.12,0.62,-2.80,0.80,-8.56,-2.84,1.93,-9.18,27,11.0
229.13,-16.63,-168.13,0.01,0.47,-0.05,0.01,-1.20,0.49,-2.72,0.67,-8.75,-2.76,1.92,-9.20,27,12.04
229.00,-16.38,-168.19,0.01,0.48,-0.08,0.04,-1.25,0.45,-2.75,0.83,-8.97,-2.72,1.92,-9.22,27,8.98
228.94,-16.13,-168.19,0.00,0.46,-0.07,-0.02,-1.09,0.24,-2.67,0.83,-9.03,-2.68,1.92,-9.23,27,10.5
228.94,-15.88,-168.19,-0.02,0.36,0.02,0.00,-0.96,0.09,-2.65,0.95,-9.14,-2.65,1.92,-9.24,27,10.85
228.94,-15.50,-168.19,-0.02,0.29,0.09,0.02,-0.95,0.18,-2.60,0.97,-9.06,-2.62,1.92,-9.24,27,11.33
229.00,-15.38,-168.13,-0.03,0.23,0.15,0.06,-1.00,0.19,-2.54,0.92,-9.06,-2.60,1.93,-9.25,27,10.45
229.13,-15.25,-168.13,-0.01,0.18,0.19,0.14,-0.94,0.28,-2.44,0.99,-8.97,-2.57,1.94,-9.26,27,11.08
229.25,-15.19,-168.13,0.00,0.13,0.20,0.26,-1.08,0.38,-2.29,0.86,-8.88,-2.55,1.94,-9.26,27,11.3
229.31,-15.06,-168.06,0.05,0.06,0.16,0.26,-1.13,0.33,-2.28,0.81,-8.92,-2.54,1.94,-9.26,27,13.08
229.50,-15.00,-168.13,0.07,0.03,0.14,0.17,-0.95,0.14,-2.37,0.98,-9.12,-2.54,1.94,-9.26,27,8.85
229.63,-15.00,-168.13,0.08,-0.01,0.13,0.25,-0.97,0.10,-2.28,0.96,-9.16,-2.54,1.94,-9.26,27,10.41
229.75,-15.00,-168.19,0.09,-0.06,0.14,0.13,-0.97,-0.05,-2.56,0.93,-9.40,-2.55,1.93,-9.26,27,10.24
229.81,-15.06,-168.19,0.11,-0.11,0.16,-0.11,-1.05,-0.09,-2.67,0.87,-9.36,-2.56,1.92,-9.26,27,11.7
229.94,-15.13,-168.25,0.13,-0.17,0.21,-0.16,-1.15,-0.03,-2.73,0.76,-9.30,-2.57,1.91,-9.26,27,10.81
230.06,-15.19,-168.25,0.13,-0.17,0.24,-0.34,-1.28,-0.09,-2.93,0.63,-9.36,-2.58,1.91,-9.26,27,11.13
230.38,-15.31,-168.31,0.12,-0.17,0.26,-0.48,-1.39,-0.08,-3.07,0.51,-9.34,-2.60,1.90,-9.25,27,10.4
230.56,-15.38,-168.31,0.10,-0.17,0.28,-0.59,-1.45,-0.10,-3.39,0.27,-9.30,-2.61,1.90,-9.25,27,12.16
230.75,-15.44,-168.31,0.09,-0.16,0.30,-0.80,-1.69,-0.07,-3.42,0.21,-9.32,-2.62,1.90,-9.25,27,10.93
230.94,-15.50,-168.31,0.07,-0.15,0.31,-0.90,-1.72,-0.08,-3.53,0.18,-9.33,-2.62,1.91,-9.25,27,11.1
231.31,-15.50,-168.25,0.01,-0.09,0.33,-0.91,-1.77,0.04,-3.54,0.14,-9.20,-2.63,1.92,-9.24,27,10.48
231.50,-15.50,-168.19,-0.02,-0.06,0.33,-0.87,-1.67,0.14,-3.50,0.25,-9.09,-2.62,1.94,-9.24,27,11.57
231.63,-15.50,-168.13,-0.03,-0.03,0.30,-0.82,-1.58,0.19,-3.31,0.45,-9.14,-2.62,1.95,-9.24,27,10.82
231.81,-15.50,-168.06,-0.04,0.00,0.25,-0.69,-1.50,0.09,-3.16,0.90,-9.10,-2.61,1.96,-9.24,27,11.23
231.88,-15.44,-168.00,-0.03,0.03,0.21,-0.42,-0.89,-0.02,-3.03,1.06,-9.27,-2.60,1.96,-9.24,27,10.58
232.06,-15.31,-167.94,0.03,0.06,0.18,-0.23,-0.82,0.01,-2.83,1.14,-9.22,-2.59,1.96,-9.24,27,11.0
232.19,-15.31,-167.94,0.08,0.06,0.20,-0.14,-0.64,-0.04,-2.70,1.33,-9.27,-2.57,1.96,-9.25,27,11.56
232.31,-15.19,-168.00,0.14,0.08,0.22,-0.12,-0.62,-0.02,-2.84,1.21,-9.19,-2.56,1.94,-9.26,27,10.96
232.44,-15.13,-168.13,0.20,0.10,0.22,-0.27,-0.73,0.06,-2.83,1.16,-9.25,-2.54,1.93,-9.27,27,10.94
232.56,-15.06,-168.19,0.25,0.22,0.17,-0.37,-0.62,-0.06,-2.90,1.28,-9.34,-2.52,1.91,-9.28,27,10.89
232.69,-14.75,-168.56,0.24,0.30,0.11,-0.38,-0.60,-0.02,-2.89,1.26,-9.31,-2.50,1.87,-9.29,27,10.64
232.69,-14.63,-168.75,0.21,0.38,0.07,-0.30,-0.53,-0.03,-2.78,1.31,-9.34,-2.47,1.84,-9.30,27,11.17
232.75,-14.38,-168.88,0.14,0.44,0.04,-0.27,-0.48,-0.04,-2.72,1.34,-9.36,-2.40,1.81,-9.33,27,11.31
232.75,-14.19,-169.00,0.06,0.48,0.03,-0.12,-0.44,-0.03,-2.49,1.28,-9.26,-2.35,1.81,-9.34,27,11.16
232.75,-13.88,-168.94,-0.10,0.48,0.09,-0.10,-0.51,0.06,-2.41,1.31,-9.29,-2.31,1.82,-9.35,27,11.61
232.81,-13.38,-168.81,-0.19,0.46,0.13,-0.10,-0.47,0.32,-2.37,1.37,-9.03,-2.26,1.84,-9.35,27,9.73
232.88,-13.06,-168.63,-0.27,0.45,0.17,-0.17,-0.59,0.31,-2.40,1.28,-9.05,-2.22,1.87,-9.36,27,10.21
233.00,-12.81,-168.44,-0.34,0.43,0.21,-0.13,-0.61,0.50,-2.26,1.37,-8.58,-2.14,1.95,-9.36,27,10.02
233.06,-12.56,-168.19,-0.39,0.42,0.26,0.07,-0.67,0.89,-2.02,1.31,-8.47,-2.09,1.99,-9.36,27,12.02
233.19,-12.31,-167.94,-0.43,0.41,0.33,0.22,-0.62,0.85,-1.82,1.41,-8.51,-2.05,2.04,-9.36,27,10.87
233.31,-12.06,-167.69,-0.40,0.41,0.36,0.29,-0.62,0.87,-1.71,1.46,-8.49,-2.00,2.08,-9.36,27,10.55
233.63,-11.56,-167.19,-0.33,0.39,0.37,0.39,-0.32,0.74,-1.56,1.80,-8.62,-1.96,2.12,-9.36,27,11.61
233.81,-11.31,-167.00,-0.25,0.37,0.35,0.57,-0.24,0.67,-1.20,2.08,-8.93,-1.88,2.17,-9.37,27,11.65
233.94,-11.06,-166.94,-0.17,0.33,0.34,0.68,-0.08,0.43,-1.07,2.42,-9.09,-1.85,2.18,-9.37,27,11.03
234.13,-10.88,-166.88,-0.06,0.27,0.32,0.78,0.23,0.28,-0.69,2.48,-9.43,-1.83,2.18,-9.38,27,10.07
234.25,-10.75,-166.88,0.06,0.19,0.29,1.07,0.38,-0.28,-0.74,2.55,-9.66,-1.81,2.17,-9.38,27,10.62
234.56,-10.63,-167.13,0.35,0.01,0.21,0.90,0.45,-0.19,-0.90,2.59,-9.58,-1.81,2.14,-9.39,27,11.9
234.69,-10.63,-167.38,0.48,-0.07,0.14,0.39,-0.15,-0.01,-1.41,1.94,-9.41,-1.82,2.05,-9.41,27,9.9
234.75,-10.69,-167.69,0.56,-0.11,0.07,0.20,-0.32,0.03,-1.62,1.72,-9.37,-1.83,1.99,-9.42,27,10.22
234.81,-10.75,-168.00,0.61,-0.12,0.01,0.04,-0.60,0.14,-2.02,1.13,-9.27,-1.84,1.94,-9.43,27,10.79
234.81,-10.81,-168.31,0.54,-0.10,-0.05,-0.52,-1.09,0.05,-2.38,0.79,-9.38,-1.85,1.89,-9.44,27,12.0
